epoch,loss,dice_score,val_loss,val_dice_score
1,0.5556,0.4132,0.3829,0.7879
2,0.3905,0.7226,0.3634,0.8245
3,0.3805,0.7408,0.3660,0.9307
4,0.3779,0.7509,0.3621,0.8812
5,0.3763,0.7505,0.3613,0.9093
6,0.3743,0.7702,0.3680,0.9061
7,0.3713,0.7850,0.3576,0.9292
8,0.3694,0.7994,0.3597,0.9106
9,0.3680,0.8053,0.3585,0.8708
10,0.3667,0.8224,0.3604,0.9238
11,0.3663,0.8304,0.3604,0.9384
12,0.3651,0.8173,0.3592,0.8697
13,0.3640,0.8302,0.3572,0.9328
14,0.3633,0.8412,0.3582,0.9200
15,0.3627,0.8390,0.3575,0.9541
16,0.3619,0.8490,0.3578,0.8759
17,0.3615,0.8524,0.3575,0.9311
18,0.3610,0.8643,0.3578,0.9149
19,0.3605,0.8612,0.3581,0.9295
20,0.3599,0.8568,0.3572,0.9237
21,0.3595,0.8717,0.3590,0.9299
22,0.3588,0.8723,0.3571,0.9365
23,0.3587,0.8754,0.3587,0.9488
24,0.3582,0.8807,0.3584,0.9384
25,0.3580,0.8880,0.3565,0.9352
26,0.3574,0.8881,0.3565,0.9483
27,0.3571,0.8949,0.3586,0.9064
28,0.3569,0.8840,0.3572,0.9573
29,0.3566,0.9017,0.3573,0.9557
30,0.3559,0.9066,0.3573,0.9571
31,0.3560,0.9036,0.3575,0.9629
32,0.3556,0.9045,0.3565,0.9554
33,0.3557,0.9094,0.3572,0.9496
34,0.3554,0.9011,0.3593,0.9480
35,0.3554,0.9112,0.3589,0.9488
36,0.3552,0.9153,0.3593,0.9472
37,0.3552,0.9089,0.3577,0.9507
38,0.3553,0.9118,0.3578,0.9300
39,0.3548,0.9117,0.3585,0.9498
40,0.3548,0.9161,0.3599,0.9404
41,0.3549,0.9155,0.3573,0.9380
42,0.3548,0.9072,0.3579,0.9579
43,0.3545,0.9074,0.3582,0.9307
44,0.3548,0.9110,0.3600,0.9540
45,0.3546,0.9136,0.3580,0.9521
46,0.3545,0.9156,0.3585,0.9382
47,0.3542,0.9034,0.3587,0.9224
48,0.3540,0.9042,0.3591,0.9524
49,0.3539,0.9181,0.3597,0.9488
50,0.3541,0.9181,0.3593,0.9515
