epoch,disc_blend,disc_real_fake,disc_loss,disc_gp,gen_image,gen_ssim_mean,gen_ssim_std,gen_disc,val_avg_ssim,val_std_ssim,val_avg_psnr,val_std_psnr
1,0.0000,0.0375,0.0188,0.0000,-0.1057,0.7998,0.1107,0.9412,0.902,0.046,20.896,1.161
2,0.0000,0.0063,0.0031,0.0000,-0.1443,0.8767,0.0501,0.9902,0.916,0.042,21.966,1.155
3,0.0000,0.0068,0.0034,0.0000,-0.1490,0.8870,0.0432,0.9926,0.897,0.043,21.894,1.003
4,0.0000,0.0249,0.0124,0.0000,-0.1551,0.8975,0.0438,0.9810,0.920,0.049,24.691,0.799
5,0.0000,0.0087,0.0043,0.0000,-0.1626,0.9148,0.0304,0.9915,0.932,0.044,24.853,1.168
6,0.0000,0.0051,0.0026,0.0000,-0.1656,0.9210,0.0308,0.9920,0.927,0.032,25.098,1.912
7,0.0000,0.0011,0.0005,0.0000,-0.1733,0.9353,0.0245,0.9979,0.937,0.043,26.331,1.571
8,0.0000,0.0026,0.0013,0.0000,-0.1710,0.9304,0.0458,0.9960,0.936,0.044,25.363,1.258
9,0.0000,0.0027,0.0013,0.0000,-0.1746,0.9385,0.0228,0.9970,0.953,0.035,28.466,1.431
10,0.0000,0.0052,0.0026,0.0000,-0.1764,0.9422,0.0251,0.9945,0.951,0.034,28.081,0.896
11,0.0000,0.0027,0.0013,0.0000,-0.1709,0.9280,0.0306,0.9967,0.945,0.034,27.906,1.501
12,0.0000,0.0016,0.0008,0.0000,-0.1716,0.9300,0.0254,0.9986,0.951,0.037,28.878,1.478
13,0.0000,0.0022,0.0011,0.0000,-0.1739,0.9356,0.0254,0.9984,0.941,0.044,27.354,1.033
14,0.0000,0.0002,0.0001,0.0000,-0.1760,0.9401,0.0220,0.9987,0.948,0.035,27.465,1.301
15,0.0000,0.0064,0.0032,0.0000,-0.1736,0.9351,0.0292,0.9952,0.953,0.037,28.685,1.141
16,0.0000,0.0016,0.0008,0.0000,-0.1777,0.9433,0.0210,0.9980,0.951,0.036,27.438,1.369
17,0.0000,0.0019,0.0010,0.0000,-0.1782,0.9445,0.0202,0.9980,0.949,0.030,29.113,1.240
18,0.0000,0.0007,0.0004,0.0000,-0.1793,0.9471,0.0203,0.9992,0.953,0.040,29.264,1.262
19,0.0000,0.0023,0.0012,0.0000,-0.1793,0.9476,0.0193,0.9974,0.957,0.036,30.038,1.370
20,0.0000,0.0015,0.0008,0.0000,-0.1787,0.9463,0.0194,0.9994,0.952,0.042,28.743,1.174
21,0.0000,0.0013,0.0006,0.0000,-0.1790,0.9462,0.0204,0.9983,0.952,0.041,30.000,1.444
22,0.0000,0.0015,0.0008,0.0000,-0.1799,0.9483,0.0201,0.9985,0.961,0.030,29.988,1.270
23,0.0000,0.0004,0.0002,0.0000,-0.1796,0.9482,0.0196,0.9993,0.959,0.034,30.316,1.329
24,0.0000,0.0006,0.0003,0.0000,-0.1810,0.9511,0.0194,0.9994,0.962,0.033,30.393,1.483
25,0.0000,0.0004,0.0002,0.0000,-0.1816,0.9529,0.0189,0.9993,0.963,0.030,30.739,1.416
26,0.0000,0.0006,0.0003,0.0000,-0.1809,0.9511,0.0195,0.9996,0.956,0.038,30.193,1.393
27,0.0000,0.0000,0.0000,0.0000,-0.1815,0.9520,0.0191,0.9998,0.964,0.030,30.809,1.617
